kode_kabupaten_kota,nama_kabupaten_kota,2018,2019,2020,2021,2022
3201,KABUPATEN BOGOR,2155,2201,2002,2025,1861
3202,KABUPATEN SUKABUMI,594,595,657,666,674
3203,KABUPATEN CIANJUR,589,589,645,653,700
3204,KABUPATEN BANDUNG,2103,2135,2050,2074,2136
3205,KABUPATEN GARUT,848,853,841,847,847
3206,KABUPATEN TASIKMALAYA,686,688,731,738,705
3207,KABUPATEN CIAMIS,840,845,869,875,782
3208,KABUPATEN KUNINGAN,968,973,1051,1063,1003
3209,KABUPATEN CIREBON,2210,2227,2306,2327,2150
3210,KABUPATEN MAJALENGKA,996,1001,1084,1095,1004
3211,KABUPATEN SUMEDANG,757,759,759,764,745
3212,KABUPATEN INDRAMAYU,843,847,899,907,902
3213,KABUPATEN SUBANG,834,843,842,849,750
3214,KABUPATEN PURWAKARTA,1155,1166,1208,1225,1036
3215,KABUPATEN KARAWANG,1414,1425,1476,1494,1309
3216,KABUPATEN BEKASI,2964,3073,2541,2578,2570
3217,KABUPATEN BANDUNG BARAT,1289,1302,1370,1389,1439
3218,KABUPATEN PANGANDARAN,393,395,419,423,383
3271,KOTA BOGOR,9256,9385,8802,8881,9550
3272,KOTA SUKABUMI,6762,6812,7178,7271,7377
3273,KOTA BANDUNG,14932,14957,14577,14630,14776
3274,KOTA CIREBON,8466,8547,8921,9017,8646
3275,KOTA BEKASI,14190,14539,12311,12414,12159
3276,KOTA DEPOK,11635,12017,10267,10415,10622
3277,KOTA CIMAHI,15478,15643,14474,14556,13557
3278,KOTA TASIKMALAYA,3862,3866,4173,4218,3988
3279,KOTA BANJAR,1611,1613,1771,1792,1576
